images\000000000.tif  labels\000000000.xml 
images\000000699.tif  labels\000000699.xml 
images\000000700.tif  labels\000000700.xml 
images\000000701.tif  labels\000000701.xml 
images\000000702.tif  labels\000000702.xml 
images\000000703.tif  labels\000000703.xml 
images\000000704.tif  labels\000000704.xml 
images\000000705.tif  labels\000000705.xml 
images\000000706.tif  labels\000000706.xml 
images\000000707.tif  labels\000000707.xml 
images\000000708.tif  labels\000000708.xml 
images\000000709.tif  labels\000000709.xml 
images\000000710.tif  labels\000000710.xml 
images\000000711.tif  labels\000000711.xml 
images\000000712.tif  labels\000000712.xml 
images\000000713.tif  labels\000000713.xml 
images\000000714.tif  labels\000000714.xml 
images\000000715.tif  labels\000000715.xml 
images\000000716.tif  labels\000000716.xml 
images\000000717.tif  labels\000000717.xml 
images\000000718.tif  labels\000000718.xml 
images\000000719.tif  labels\000000719.xml 
images\000000720.tif  labels\000000720.xml 
images\000000721.tif  labels\000000721.xml 
images\000000722.tif  labels\000000722.xml 
images\000000723.tif  labels\000000723.xml 
images\000000724.tif  labels\000000724.xml 
images\000000725.tif  labels\000000725.xml 
images\000000726.tif  labels\000000726.xml 
images\000000727.tif  labels\000000727.xml 
images\000000728.tif  labels\000000728.xml 
images\000000729.tif  labels\000000729.xml 
images\000000730.tif  labels\000000730.xml 
images\000000731.tif  labels\000000731.xml 
images\000000732.tif  labels\000000732.xml 
images\000000733.tif  labels\000000733.xml 
images\000000734.tif  labels\000000734.xml 
images\000000735.tif  labels\000000735.xml 
images\000000736.tif  labels\000000736.xml 
images\000000737.tif  labels\000000737.xml 
images\000000738.tif  labels\000000738.xml 
images\000000739.tif  labels\000000739.xml 
images\000000740.tif  labels\000000740.xml 
images\000000741.tif  labels\000000741.xml 
images\000000742.tif  labels\000000742.xml 
images\000000743.tif  labels\000000743.xml 
images\000000744.tif  labels\000000744.xml 
images\000000745.tif  labels\000000745.xml 
images\000000746.tif  labels\000000746.xml 
images\000000747.tif  labels\000000747.xml 
images\000000748.tif  labels\000000748.xml 
images\000000749.tif  labels\000000749.xml 
images\000000750.tif  labels\000000750.xml 
images\000000751.tif  labels\000000751.xml 
images\000000752.tif  labels\000000752.xml 
images\000000753.tif  labels\000000753.xml 
images\000000754.tif  labels\000000754.xml 
images\000000755.tif  labels\000000755.xml 
images\000000756.tif  labels\000000756.xml 
images\000000757.tif  labels\000000757.xml 
images\000000758.tif  labels\000000758.xml 
images\000000759.tif  labels\000000759.xml 
images\000000760.tif  labels\000000760.xml 
images\000000761.tif  labels\000000761.xml 
images\000000762.tif  labels\000000762.xml 
images\000000763.tif  labels\000000763.xml 
images\000000764.tif  labels\000000764.xml 
images\000000765.tif  labels\000000765.xml 
images\000000766.tif  labels\000000766.xml 
images\000000767.tif  labels\000000767.xml 
images\000000768.tif  labels\000000768.xml 
images\000000769.tif  labels\000000769.xml 
images\000000770.tif  labels\000000770.xml 
images\000000771.tif  labels\000000771.xml 
images\000000772.tif  labels\000000772.xml 
images\000000773.tif  labels\000000773.xml 
images\000000774.tif  labels\000000774.xml 
images\000000775.tif  labels\000000775.xml 
images\000000776.tif  labels\000000776.xml 
images\000000777.tif  labels\000000777.xml 
images\000000778.tif  labels\000000778.xml 
images\000000779.tif  labels\000000779.xml 
images\000000780.tif  labels\000000780.xml 
images\000000781.tif  labels\000000781.xml 
images\000000782.tif  labels\000000782.xml 
images\000000783.tif  labels\000000783.xml 
images\000000784.tif  labels\000000784.xml 
images\000000785.tif  labels\000000785.xml 
images\000000786.tif  labels\000000786.xml 
images\000000787.tif  labels\000000787.xml 
images\000000788.tif  labels\000000788.xml 
images\000000789.tif  labels\000000789.xml 
images\000000790.tif  labels\000000790.xml 
images\000000791.tif  labels\000000791.xml 
images\000000792.tif  labels\000000792.xml 
images\000000793.tif  labels\000000793.xml 
images\000000794.tif  labels\000000794.xml 
images\000000795.tif  labels\000000795.xml 
images\000000796.tif  labels\000000796.xml 
images\000000797.tif  labels\000000797.xml 
images\000000798.tif  labels\000000798.xml 
images\000000799.tif  labels\000000799.xml 
images\000000800.tif  labels\000000800.xml 
images\000000801.tif  labels\000000801.xml 
images\000000802.tif  labels\000000802.xml 
images\000000803.tif  labels\000000803.xml 
images\000000804.tif  labels\000000804.xml 
images\000000805.tif  labels\000000805.xml 
images\000000806.tif  labels\000000806.xml 
images\000000807.tif  labels\000000807.xml 
images\000000808.tif  labels\000000808.xml 
images\000000809.tif  labels\000000809.xml 
images\000000810.tif  labels\000000810.xml 
images\000000811.tif  labels\000000811.xml 
images\000000812.tif  labels\000000812.xml 
images\000000813.tif  labels\000000813.xml 
images\000000814.tif  labels\000000814.xml 
images\000000815.tif  labels\000000815.xml 
images\000000816.tif  labels\000000816.xml 
images\000000817.tif  labels\000000817.xml 
images\000000818.tif  labels\000000818.xml 
images\000000819.tif  labels\000000819.xml 
images\000000820.tif  labels\000000820.xml 
images\000000821.tif  labels\000000821.xml 
images\000000822.tif  labels\000000822.xml 
images\000000823.tif  labels\000000823.xml 
images\000000824.tif  labels\000000824.xml 
images\000000825.tif  labels\000000825.xml 
images\000000826.tif  labels\000000826.xml 
images\000000827.tif  labels\000000827.xml 
images\000000828.tif  labels\000000828.xml 
images\000000829.tif  labels\000000829.xml 
images\000000830.tif  labels\000000830.xml 
images\000000831.tif  labels\000000831.xml 
images\000000832.tif  labels\000000832.xml 
images\000000833.tif  labels\000000833.xml 
images\000000834.tif  labels\000000834.xml 
images\000000835.tif  labels\000000835.xml 
images\000000836.tif  labels\000000836.xml 
images\000000837.tif  labels\000000837.xml 
images\000000838.tif  labels\000000838.xml 
images\000000839.tif  labels\000000839.xml 
images\000000840.tif  labels\000000840.xml 
images\000000841.tif  labels\000000841.xml 
images\000000842.tif  labels\000000842.xml 
images\000000843.tif  labels\000000843.xml 
images\000000844.tif  labels\000000844.xml 
images\000000845.tif  labels\000000845.xml 
images\000000846.tif  labels\000000846.xml 
images\000000847.tif  labels\000000847.xml 
images\000000848.tif  labels\000000848.xml 
images\000000849.tif  labels\000000849.xml 
images\000000850.tif  labels\000000850.xml 
images\000000851.tif  labels\000000851.xml 
images\000000852.tif  labels\000000852.xml 
images\000000853.tif  labels\000000853.xml 
images\000000854.tif  labels\000000854.xml 
images\000000855.tif  labels\000000855.xml 
images\000000856.tif  labels\000000856.xml 
images\000000857.tif  labels\000000857.xml 
images\000000858.tif  labels\000000858.xml 
images\000000859.tif  labels\000000859.xml 
images\000000860.tif  labels\000000860.xml 
images\000000861.tif  labels\000000861.xml 
images\000000862.tif  labels\000000862.xml 
images\000000863.tif  labels\000000863.xml 
images\000000864.tif  labels\000000864.xml 
images\000000865.tif  labels\000000865.xml 
images\000000866.tif  labels\000000866.xml 
images\000000867.tif  labels\000000867.xml 
images\000000868.tif  labels\000000868.xml 
images\000000869.tif  labels\000000869.xml 
images\000000870.tif  labels\000000870.xml 
images\000000871.tif  labels\000000871.xml 
images\000000872.tif  labels\000000872.xml 
images\000000873.tif  labels\000000873.xml 
images\000000874.tif  labels\000000874.xml 
images\000000875.tif  labels\000000875.xml 
images\000000876.tif  labels\000000876.xml 
images\000000877.tif  labels\000000877.xml 
images\000000878.tif  labels\000000878.xml 
images\000000879.tif  labels\000000879.xml 
images\000000880.tif  labels\000000880.xml 
images\000000881.tif  labels\000000881.xml 
images\000000882.tif  labels\000000882.xml 
images\000000883.tif  labels\000000883.xml 
images\000000884.tif  labels\000000884.xml 
images\000000885.tif  labels\000000885.xml 
images\000000886.tif  labels\000000886.xml 
images\000000887.tif  labels\000000887.xml 
images\000000888.tif  labels\000000888.xml 
images\000000889.tif  labels\000000889.xml 
images\000000890.tif  labels\000000890.xml 
images\000000891.tif  labels\000000891.xml 
images\000000892.tif  labels\000000892.xml 
images\000000893.tif  labels\000000893.xml 
images\000000894.tif  labels\000000894.xml 
images\000000895.tif  labels\000000895.xml 
images\000000896.tif  labels\000000896.xml 
images\000000897.tif  labels\000000897.xml 
images\000000898.tif  labels\000000898.xml 
images\000000899.tif  labels\000000899.xml 
images\000000900.tif  labels\000000900.xml 
images\000000901.tif  labels\000000901.xml 
images\000000902.tif  labels\000000902.xml 
images\000000903.tif  labels\000000903.xml 
images\000000904.tif  labels\000000904.xml 
images\000000905.tif  labels\000000905.xml 
images\000000906.tif  labels\000000906.xml 
images\000000907.tif  labels\000000907.xml 
images\000000908.tif  labels\000000908.xml 
images\000000909.tif  labels\000000909.xml 
images\000000910.tif  labels\000000910.xml 
images\000000911.tif  labels\000000911.xml 
images\000000912.tif  labels\000000912.xml 
images\000000913.tif  labels\000000913.xml 
images\000000914.tif  labels\000000914.xml 
images\000000915.tif  labels\000000915.xml 
images\000000916.tif  labels\000000916.xml 
images\000000917.tif  labels\000000917.xml 
images\000000918.tif  labels\000000918.xml 
images\000000919.tif  labels\000000919.xml 
images\000000920.tif  labels\000000920.xml 
images\000000921.tif  labels\000000921.xml 
images\000000922.tif  labels\000000922.xml 
images\000000923.tif  labels\000000923.xml 
images\000000924.tif  labels\000000924.xml 
images\000000925.tif  labels\000000925.xml 
images\000000926.tif  labels\000000926.xml 
images\000000927.tif  labels\000000927.xml 
images\000000928.tif  labels\000000928.xml 
images\000000929.tif  labels\000000929.xml 
images\000000930.tif  labels\000000930.xml 
images\000000931.tif  labels\000000931.xml 
images\000000932.tif  labels\000000932.xml 
images\000000933.tif  labels\000000933.xml 
images\000000934.tif  labels\000000934.xml 
images\000000935.tif  labels\000000935.xml 
images\000000936.tif  labels\000000936.xml 
images\000000937.tif  labels\000000937.xml 
images\000000938.tif  labels\000000938.xml 
images\000000939.tif  labels\000000939.xml 
images\000000940.tif  labels\000000940.xml 
images\000000941.tif  labels\000000941.xml 
images\000000942.tif  labels\000000942.xml 
images\000000943.tif  labels\000000943.xml 
images\000000944.tif  labels\000000944.xml 
images\000000945.tif  labels\000000945.xml 
images\000000946.tif  labels\000000946.xml 
images\000000947.tif  labels\000000947.xml 
images\000000948.tif  labels\000000948.xml 
images\000000949.tif  labels\000000949.xml 
images\000000950.tif  labels\000000950.xml 
images\000000951.tif  labels\000000951.xml 
images\000000952.tif  labels\000000952.xml 
images\000000953.tif  labels\000000953.xml 
images\000000954.tif  labels\000000954.xml 
images\000000955.tif  labels\000000955.xml 
images\000000956.tif  labels\000000956.xml 
images\000000957.tif  labels\000000957.xml 
images\000000958.tif  labels\000000958.xml 
images\000000959.tif  labels\000000959.xml 
images\000000960.tif  labels\000000960.xml 
images\000000961.tif  labels\000000961.xml 
images\000000962.tif  labels\000000962.xml 
images\000000963.tif  labels\000000963.xml 
images\000000964.tif  labels\000000964.xml 
images\000000965.tif  labels\000000965.xml 
images\000000966.tif  labels\000000966.xml 
images\000000967.tif  labels\000000967.xml 
images\000000968.tif  labels\000000968.xml 
images\000000969.tif  labels\000000969.xml 
images\000000970.tif  labels\000000970.xml 
images\000000971.tif  labels\000000971.xml 
images\000000972.tif  labels\000000972.xml 
images\000000973.tif  labels\000000973.xml 
images\000000974.tif  labels\000000974.xml 
images\000000975.tif  labels\000000975.xml 
images\000000976.tif  labels\000000976.xml 
images\000000977.tif  labels\000000977.xml 
images\000000978.tif  labels\000000978.xml 
images\000000979.tif  labels\000000979.xml 
images\000000980.tif  labels\000000980.xml 
images\000000981.tif  labels\000000981.xml 
images\000000982.tif  labels\000000982.xml 
images\000000983.tif  labels\000000983.xml 
images\000000984.tif  labels\000000984.xml 
images\000000985.tif  labels\000000985.xml 
images\000000986.tif  labels\000000986.xml 
images\000000987.tif  labels\000000987.xml 
images\000000988.tif  labels\000000988.xml 
images\000000989.tif  labels\000000989.xml 
images\000000990.tif  labels\000000990.xml 
images\000000991.tif  labels\000000991.xml 
images\000000992.tif  labels\000000992.xml 
images\000000993.tif  labels\000000993.xml 
images\000000994.tif  labels\000000994.xml 
images\000000995.tif  labels\000000995.xml 
images\000000996.tif  labels\000000996.xml 
images\000000997.tif  labels\000000997.xml 
images\000000998.tif  labels\000000998.xml 
images\000000999.tif  labels\000000999.xml 
images\000001000.tif  labels\000001000.xml 
images\000001001.tif  labels\000001001.xml 
images\000001002.tif  labels\000001002.xml 
images\000001003.tif  labels\000001003.xml 
images\000001004.tif  labels\000001004.xml 
images\000001005.tif  labels\000001005.xml 
images\000001006.tif  labels\000001006.xml 
images\000001007.tif  labels\000001007.xml 
images\000001008.tif  labels\000001008.xml 
images\000001009.tif  labels\000001009.xml 
images\000001010.tif  labels\000001010.xml 
images\000001011.tif  labels\000001011.xml 
images\000001012.tif  labels\000001012.xml 
images\000001013.tif  labels\000001013.xml 
images\000001014.tif  labels\000001014.xml 
images\000001015.tif  labels\000001015.xml 
images\000001016.tif  labels\000001016.xml 
images\000001017.tif  labels\000001017.xml 
images\000001018.tif  labels\000001018.xml 
images\000001019.tif  labels\000001019.xml 
images\000001020.tif  labels\000001020.xml 
images\000001021.tif  labels\000001021.xml 
images\000001022.tif  labels\000001022.xml 
images\000001023.tif  labels\000001023.xml 
images\000001024.tif  labels\000001024.xml 
images\000001025.tif  labels\000001025.xml 
images\000001026.tif  labels\000001026.xml 
images\000001027.tif  labels\000001027.xml 
images\000001028.tif  labels\000001028.xml 
images\000001029.tif  labels\000001029.xml 
images\000001030.tif  labels\000001030.xml 
images\000001031.tif  labels\000001031.xml 
images\000001032.tif  labels\000001032.xml 
images\000001033.tif  labels\000001033.xml 
images\000001034.tif  labels\000001034.xml 
images\000001035.tif  labels\000001035.xml 
images\000001036.tif  labels\000001036.xml 
images\000001037.tif  labels\000001037.xml 
images\000001038.tif  labels\000001038.xml 
images\000001039.tif  labels\000001039.xml 
images\000001040.tif  labels\000001040.xml 
images\000001041.tif  labels\000001041.xml 
images\000001042.tif  labels\000001042.xml 
images\000001043.tif  labels\000001043.xml 
images\000001044.tif  labels\000001044.xml 
images\000001045.tif  labels\000001045.xml 
images\000001046.tif  labels\000001046.xml 
images\000001047.tif  labels\000001047.xml 
images\000001048.tif  labels\000001048.xml 
images\000001049.tif  labels\000001049.xml 
images\000001050.tif  labels\000001050.xml 
images\000001051.tif  labels\000001051.xml 
images\000001052.tif  labels\000001052.xml 
images\000001053.tif  labels\000001053.xml 
images\000001054.tif  labels\000001054.xml 
images\000001055.tif  labels\000001055.xml 
images\000001056.tif  labels\000001056.xml 
images\000001057.tif  labels\000001057.xml 
images\000001058.tif  labels\000001058.xml 
images\000001059.tif  labels\000001059.xml 
images\000001060.tif  labels\000001060.xml 
images\000001061.tif  labels\000001061.xml 
images\000001062.tif  labels\000001062.xml 
images\000001063.tif  labels\000001063.xml 
images\000001064.tif  labels\000001064.xml 
images\000001065.tif  labels\000001065.xml 
images\000001066.tif  labels\000001066.xml 
images\000001067.tif  labels\000001067.xml 
images\000001068.tif  labels\000001068.xml 
images\000001069.tif  labels\000001069.xml 
images\000001070.tif  labels\000001070.xml 
images\000001071.tif  labels\000001071.xml 
images\000001072.tif  labels\000001072.xml 
images\000001073.tif  labels\000001073.xml 
images\000001074.tif  labels\000001074.xml 
images\000001075.tif  labels\000001075.xml 
images\000001076.tif  labels\000001076.xml 
images\000001077.tif  labels\000001077.xml 
images\000001078.tif  labels\000001078.xml 
images\000001079.tif  labels\000001079.xml 
images\000001080.tif  labels\000001080.xml 
images\000001081.tif  labels\000001081.xml 
images\000001082.tif  labels\000001082.xml 
images\000001083.tif  labels\000001083.xml 
images\000001084.tif  labels\000001084.xml 
images\000001085.tif  labels\000001085.xml 
images\000001086.tif  labels\000001086.xml 
images\000001087.tif  labels\000001087.xml 
images\000001088.tif  labels\000001088.xml 
images\000001089.tif  labels\000001089.xml 
images\000001090.tif  labels\000001090.xml 
images\000001091.tif  labels\000001091.xml 
images\000001092.tif  labels\000001092.xml 
images\000001093.tif  labels\000001093.xml 
images\000001094.tif  labels\000001094.xml 
images\000001095.tif  labels\000001095.xml 
images\000001096.tif  labels\000001096.xml 
images\000001097.tif  labels\000001097.xml 
images\000001098.tif  labels\000001098.xml 
images\000001099.tif  labels\000001099.xml 
images\000001100.tif  labels\000001100.xml 
images\000001101.tif  labels\000001101.xml 
images\000001102.tif  labels\000001102.xml 
images\000001103.tif  labels\000001103.xml 
images\000001104.tif  labels\000001104.xml 
images\000001105.tif  labels\000001105.xml 
images\000001106.tif  labels\000001106.xml 
images\000001107.tif  labels\000001107.xml 
images\000001108.tif  labels\000001108.xml 
images\000001109.tif  labels\000001109.xml 
images\000001110.tif  labels\000001110.xml 
images\000001111.tif  labels\000001111.xml 
images\000001112.tif  labels\000001112.xml 
images\000001113.tif  labels\000001113.xml 
images\000001114.tif  labels\000001114.xml 
images\000001115.tif  labels\000001115.xml 
images\000001116.tif  labels\000001116.xml 
images\000001117.tif  labels\000001117.xml 
images\000001118.tif  labels\000001118.xml 
images\000001119.tif  labels\000001119.xml 
images\000001120.tif  labels\000001120.xml 
images\000001121.tif  labels\000001121.xml 
images\000001122.tif  labels\000001122.xml 
images\000001123.tif  labels\000001123.xml 
images\000001124.tif  labels\000001124.xml 
images\000001125.tif  labels\000001125.xml 
images\000001126.tif  labels\000001126.xml 
images\000001127.tif  labels\000001127.xml 
images\000001128.tif  labels\000001128.xml 
images\000001129.tif  labels\000001129.xml 
images\000001130.tif  labels\000001130.xml 
images\000001131.tif  labels\000001131.xml 
images\000001132.tif  labels\000001132.xml 
images\000001133.tif  labels\000001133.xml 
images\000001134.tif  labels\000001134.xml 
images\000001135.tif  labels\000001135.xml 
images\000001136.tif  labels\000001136.xml 
images\000001137.tif  labels\000001137.xml 
images\000001138.tif  labels\000001138.xml 
images\000001139.tif  labels\000001139.xml 
images\000001140.tif  labels\000001140.xml 
images\000001141.tif  labels\000001141.xml 
images\000001142.tif  labels\000001142.xml 
images\000001143.tif  labels\000001143.xml 
images\000001144.tif  labels\000001144.xml 
images\000001145.tif  labels\000001145.xml 
images\000001146.tif  labels\000001146.xml 
images\000001147.tif  labels\000001147.xml 
images\000001148.tif  labels\000001148.xml 
images\000001149.tif  labels\000001149.xml 
images\000001150.tif  labels\000001150.xml 
images\000001151.tif  labels\000001151.xml 
images\000001152.tif  labels\000001152.xml 
images\000001153.tif  labels\000001153.xml 
images\000001154.tif  labels\000001154.xml 
images\000001155.tif  labels\000001155.xml 
images\000001156.tif  labels\000001156.xml 
images\000001157.tif  labels\000001157.xml 
images\000001158.tif  labels\000001158.xml 
images\000001159.tif  labels\000001159.xml 
images\000001160.tif  labels\000001160.xml 
images\000001161.tif  labels\000001161.xml 
images\000001162.tif  labels\000001162.xml 
images\000001163.tif  labels\000001163.xml 
images\000001164.tif  labels\000001164.xml 
images\000001165.tif  labels\000001165.xml 
images\000001166.tif  labels\000001166.xml 
images\000001167.tif  labels\000001167.xml 
images\000001168.tif  labels\000001168.xml 
images\000001169.tif  labels\000001169.xml 
images\000001170.tif  labels\000001170.xml 
images\000001171.tif  labels\000001171.xml 
images\000001172.tif  labels\000001172.xml 
images\000001173.tif  labels\000001173.xml 
images\000001174.tif  labels\000001174.xml 
images\000001175.tif  labels\000001175.xml 
images\000001176.tif  labels\000001176.xml 
images\000001177.tif  labels\000001177.xml 
images\000001178.tif  labels\000001178.xml 
images\000001179.tif  labels\000001179.xml 
images\000001180.tif  labels\000001180.xml 
images\000001181.tif  labels\000001181.xml 
images\000001182.tif  labels\000001182.xml 
images\000001183.tif  labels\000001183.xml 
images\000001184.tif  labels\000001184.xml 
images\000001185.tif  labels\000001185.xml 
images\000001186.tif  labels\000001186.xml 
images\000001187.tif  labels\000001187.xml 
images\000001188.tif  labels\000001188.xml 
images\000001189.tif  labels\000001189.xml 
images\000001190.tif  labels\000001190.xml 
images\000001191.tif  labels\000001191.xml 
images\000001192.tif  labels\000001192.xml 
images\000001193.tif  labels\000001193.xml 
images\000001194.tif  labels\000001194.xml 
images\000001195.tif  labels\000001195.xml 
images\000001196.tif  labels\000001196.xml 
images\000001197.tif  labels\000001197.xml 
images\000001198.tif  labels\000001198.xml 
images\000001199.tif  labels\000001199.xml 
images\000001200.tif  labels\000001200.xml 
images\000001201.tif  labels\000001201.xml 
images\000001202.tif  labels\000001202.xml 
images\000001203.tif  labels\000001203.xml 
images\000001204.tif  labels\000001204.xml 
images\000001205.tif  labels\000001205.xml 
images\000001206.tif  labels\000001206.xml 
images\000001207.tif  labels\000001207.xml 
images\000001208.tif  labels\000001208.xml 
images\000001209.tif  labels\000001209.xml 
images\000001210.tif  labels\000001210.xml 
images\000001211.tif  labels\000001211.xml 
images\000001212.tif  labels\000001212.xml 
images\000001213.tif  labels\000001213.xml 
images\000001214.tif  labels\000001214.xml 
images\000001215.tif  labels\000001215.xml 
images\000001216.tif  labels\000001216.xml 
images\000001217.tif  labels\000001217.xml 
images\000001218.tif  labels\000001218.xml 
images\000001219.tif  labels\000001219.xml 
images\000001220.tif  labels\000001220.xml 
images\000001221.tif  labels\000001221.xml 
images\000001222.tif  labels\000001222.xml 
images\000001223.tif  labels\000001223.xml 
images\000001224.tif  labels\000001224.xml 
images\000001225.tif  labels\000001225.xml 
images\000001226.tif  labels\000001226.xml 
images\000001227.tif  labels\000001227.xml 
images\000001228.tif  labels\000001228.xml 
images\000001229.tif  labels\000001229.xml 
images\000001230.tif  labels\000001230.xml 
images\000001231.tif  labels\000001231.xml 
images\000001232.tif  labels\000001232.xml 
images\000001233.tif  labels\000001233.xml 
images\000001234.tif  labels\000001234.xml 
images\000001235.tif  labels\000001235.xml 
images\000001236.tif  labels\000001236.xml 
images\000001237.tif  labels\000001237.xml 
images\000001238.tif  labels\000001238.xml 
images\000001239.tif  labels\000001239.xml 
images\000001240.tif  labels\000001240.xml 
images\000001241.tif  labels\000001241.xml 
images\000001242.tif  labels\000001242.xml 
images\000001243.tif  labels\000001243.xml 
images\000001244.tif  labels\000001244.xml 
images\000001245.tif  labels\000001245.xml 
images\000001246.tif  labels\000001246.xml 
images\000001247.tif  labels\000001247.xml 
images\000001248.tif  labels\000001248.xml 
images\000001249.tif  labels\000001249.xml 
images\000001250.tif  labels\000001250.xml 
images\000001251.tif  labels\000001251.xml 
images\000001252.tif  labels\000001252.xml 
images\000001253.tif  labels\000001253.xml 
images\000001254.tif  labels\000001254.xml 
images\000001255.tif  labels\000001255.xml 
images\000001256.tif  labels\000001256.xml 
images\000001257.tif  labels\000001257.xml 
images\000001258.tif  labels\000001258.xml 
images\000001259.tif  labels\000001259.xml 
images\000001260.tif  labels\000001260.xml 
images\000001261.tif  labels\000001261.xml 
images\000001262.tif  labels\000001262.xml 
images\000001263.tif  labels\000001263.xml 
images\000001264.tif  labels\000001264.xml 
images\000001265.tif  labels\000001265.xml 
images\000001266.tif  labels\000001266.xml 
images\000001267.tif  labels\000001267.xml 
images\000001268.tif  labels\000001268.xml 
images\000001269.tif  labels\000001269.xml 
images\000001270.tif  labels\000001270.xml 
images\000001271.tif  labels\000001271.xml 
images\000001272.tif  labels\000001272.xml 
images\000001273.tif  labels\000001273.xml 
images\000001274.tif  labels\000001274.xml 
images\000001275.tif  labels\000001275.xml 
images\000001276.tif  labels\000001276.xml 
images\000001277.tif  labels\000001277.xml 
images\000001278.tif  labels\000001278.xml 
images\000001279.tif  labels\000001279.xml 
images\000001280.tif  labels\000001280.xml 
images\000001281.tif  labels\000001281.xml 
images\000001282.tif  labels\000001282.xml 
images\000001283.tif  labels\000001283.xml 
images\000001284.tif  labels\000001284.xml 
images\000001285.tif  labels\000001285.xml 
images\000001286.tif  labels\000001286.xml 
images\000001287.tif  labels\000001287.xml 
images\000001288.tif  labels\000001288.xml 
images\000001289.tif  labels\000001289.xml 
images\000001290.tif  labels\000001290.xml 
images\000001291.tif  labels\000001291.xml 
images\000001292.tif  labels\000001292.xml 
images\000001293.tif  labels\000001293.xml 
images\000001294.tif  labels\000001294.xml 
images\000001295.tif  labels\000001295.xml 
images\000001296.tif  labels\000001296.xml 
images\000001297.tif  labels\000001297.xml 
images\000001298.tif  labels\000001298.xml 
images\000001299.tif  labels\000001299.xml 
images\000001300.tif  labels\000001300.xml 
images\000001301.tif  labels\000001301.xml 
images\000001302.tif  labels\000001302.xml 
images\000001303.tif  labels\000001303.xml 
images\000001304.tif  labels\000001304.xml 
images\000001305.tif  labels\000001305.xml 
images\000001306.tif  labels\000001306.xml 
images\000001307.tif  labels\000001307.xml 
images\000001308.tif  labels\000001308.xml 
images\000001309.tif  labels\000001309.xml 
images\000001310.tif  labels\000001310.xml 
images\000001311.tif  labels\000001311.xml 
images\000001312.tif  labels\000001312.xml 
images\000001313.tif  labels\000001313.xml 
images\000001314.tif  labels\000001314.xml 
images\000001315.tif  labels\000001315.xml 
images\000001316.tif  labels\000001316.xml 
images\000001317.tif  labels\000001317.xml 
images\000001318.tif  labels\000001318.xml 
images\000001319.tif  labels\000001319.xml 
images\000001320.tif  labels\000001320.xml 
images\000001321.tif  labels\000001321.xml 
images\000001322.tif  labels\000001322.xml 
images\000001323.tif  labels\000001323.xml 
images\000001324.tif  labels\000001324.xml 
images\000001325.tif  labels\000001325.xml 
images\000001326.tif  labels\000001326.xml 
images\000001327.tif  labels\000001327.xml 
images\000001328.tif  labels\000001328.xml 
images\000001329.tif  labels\000001329.xml 
images\000001330.tif  labels\000001330.xml 
images\000001331.tif  labels\000001331.xml 
images\000001332.tif  labels\000001332.xml 
images\000001333.tif  labels\000001333.xml 
images\000001334.tif  labels\000001334.xml 
images\000001335.tif  labels\000001335.xml 
images\000001336.tif  labels\000001336.xml 
images\000001337.tif  labels\000001337.xml 
images\000001338.tif  labels\000001338.xml 
images\000001339.tif  labels\000001339.xml 
images\000001340.tif  labels\000001340.xml 
images\000001341.tif  labels\000001341.xml 
images\000001342.tif  labels\000001342.xml 
images\000001343.tif  labels\000001343.xml 
images\000001344.tif  labels\000001344.xml 
images\000001345.tif  labels\000001345.xml 
images\000001346.tif  labels\000001346.xml 
images\000001347.tif  labels\000001347.xml 
images\000001348.tif  labels\000001348.xml 
images\000001349.tif  labels\000001349.xml 
images\000001350.tif  labels\000001350.xml 
images\000001351.tif  labels\000001351.xml 
images\000001352.tif  labels\000001352.xml 
images\000001353.tif  labels\000001353.xml 
images\000001354.tif  labels\000001354.xml 
images\000001355.tif  labels\000001355.xml 
images\000001356.tif  labels\000001356.xml 
images\000001357.tif  labels\000001357.xml 
images\000001358.tif  labels\000001358.xml 
images\000001359.tif  labels\000001359.xml 
images\000001360.tif  labels\000001360.xml 
images\000001361.tif  labels\000001361.xml 
images\000001362.tif  labels\000001362.xml 
images\000001363.tif  labels\000001363.xml 
images\000001364.tif  labels\000001364.xml 
images\000001365.tif  labels\000001365.xml 
images\000001366.tif  labels\000001366.xml 
images\000001367.tif  labels\000001367.xml 
images\000001368.tif  labels\000001368.xml 
images\000001369.tif  labels\000001369.xml 
images\000001370.tif  labels\000001370.xml 
images\000001371.tif  labels\000001371.xml 
images\000001372.tif  labels\000001372.xml 
images\000001373.tif  labels\000001373.xml 
images\000001374.tif  labels\000001374.xml 
images\000001375.tif  labels\000001375.xml 
images\000001376.tif  labels\000001376.xml 
images\000001377.tif  labels\000001377.xml 
images\000001378.tif  labels\000001378.xml 
images\000001379.tif  labels\000001379.xml 
images\000001380.tif  labels\000001380.xml 
